date,price,was_imputed
2020-01-01,1150.0,False
2020-01-02,1100.0,False
2020-01-03,1125.0,False
2020-01-04,1200.0,False
2020-01-05,1350.0,False
2020-01-06,1360.0,False
2020-01-07,1411.0,False
2020-01-08,1400.0,False
2020-01-09,1445.0,False
2020-01-10,1390.0,False
2020-01-11,1372.5,False
2020-01-12,1375.0,False
2020-01-13,1377.5,False
2020-01-14,1390.0,False
2020-01-15,1250.0,False
2020-01-16,1387.5,False
2020-01-17,1450.0,False
2020-01-18,1450.0,False
2020-01-19,1475.0,False
2020-01-20,1425.0,False
2020-01-21,1445.0,False
2020-01-22,1421.0,False
2020-01-23,1430.0,False
2020-01-24,1300.0,False
2020-01-25,1200.0,False
2020-01-26,1220.0,False
2020-01-27,1200.0,False
2020-01-28,1127.5,False
2020-01-29,1020.0,False
2020-01-30,1250.0,False
2020-01-31,1167.5,False
2020-02-01,1050.0,False
2020-02-02,1270.0,False
2020-02-03,1300.0,False
2020-02-04,1200.0,False
2020-02-05,1042.0,False
2020-02-06,1091.0,False
2020-02-07,1100.0,False
2020-02-08,1125.5,False
2020-02-09,1143.0,False
2020-02-10,1150.0,False
2020-02-11,1196.0,False
2020-02-12,1148.0,True
2020-02-13,1100.0,False
2020-02-14,1150.0,False
2020-02-15,1050.0,False
2020-02-16,1057.0,False
2020-02-17,1077.5,False
2020-02-18,1079.0,False
2020-02-19,1175.0,False
2020-02-20,1115.0,False
2020-02-21,1140.0,False
2020-02-22,1150.0,False
2020-02-23,1170.0,False
2020-02-24,1175.0,False
2020-02-25,1187.5,False
2020-02-26,1400.0,False
2020-02-27,1251.0,False
2020-02-28,1153.0,False
2020-02-29,1185.0,False
2020-03-01,1410.0,False
2020-03-02,1237.5,False
2020-03-03,1020.0,False
2020-03-04,1422.0,False
2020-03-05,1050.0,False
2020-03-06,1087.5,False
2020-03-07,1085.0,False
2020-03-08,1050.0,False
2020-03-09,1080.0,False
2020-03-10,1065.0,True
2020-03-11,1050.0,False
2020-03-12,1096.0,False
2020-03-13,1075.0,False
2020-03-14,1000.0,False
2020-03-15,1097.5,False
2020-03-16,1100.0,False
2020-03-17,1128.0,False
2020-03-18,1050.0,False
2020-03-19,1060.0,False
2020-03-20,1112.5,False
2020-03-21,1185.0,False
2020-03-22,1180.0,True
2020-03-23,1175.0,False
2020-03-24,,True
2020-03-25,,True
2020-03-26,,True
2020-03-27,,True
2020-03-28,,True
2020-03-29,,True
2020-03-30,,True
2020-03-31,1561.0,False
2020-04-01,1622.0,False
2020-04-02,1620.0,False
2020-04-03,1647.5,False
2020-04-04,1370.0,False
2020-04-05,1375.0,False
2020-04-06,1262.5,True
2020-04-07,1150.0,False
2020-04-08,1180.0,False
2020-04-09,1600.0,False
2020-04-10,1847.5,False
2020-04-11,1350.0,False
2020-04-12,1390.0,False
2020-04-13,1610.0,False
2020-04-14,1675.0,False
2020-04-15,1720.0,False
2020-04-16,1712.5,False
2020-04-17,1665.0,False
2020-04-18,1635.0,False
2020-04-19,1575.0,False
2020-04-20,1600.0,False
2020-04-21,1617.5,False
2020-04-22,1521.25,True
2020-04-23,1425.0,False
2020-04-24,1400.0,False
2020-04-25,1477.5,False
2020-04-26,1482.5,False
2020-04-27,1460.0,False
2020-04-28,1475.0,False
2020-04-29,1420.0,False
2020-04-30,1398.0,False
2020-05-01,1275.0,False
2020-05-02,1315.0,False
2020-05-03,1400.0,False
2020-05-04,1297.5,False
2020-05-05,1335.0,False
2020-05-06,1200.0,False
2020-05-07,1480.0,False
2020-05-08,1370.0,False
2020-05-09,1387.5,False
2020-05-10,1360.0,False
2020-05-11,1372.5,False
2020-05-12,1312.5,False
2020-05-13,1155.0,False
2020-05-14,1400.0,False
2020-05-15,1250.0,False
2020-05-16,1277.5,False
2020-05-17,1240.0,False
2020-05-18,1155.0,False
2020-05-19,988.0,False
2020-05-20,1125.0,False
2020-05-21,1143.0,False
2020-05-22,1115.0,False
2020-05-23,1121.0,False
2020-05-24,1142.5,False
2020-05-25,1085.0,False
2020-05-26,1092.5,False
2020-05-27,1071.0,False
2020-05-28,1121.0,False
2020-05-29,1128.0,False
2020-05-30,1107.5,False
